"filename", "language", "JavaScript", "Vue", "CSS", "HTML", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\16473\Desktop\SmartPurchase\spbackstage\src\views\finance\blotter.vue", "Vue", 0, 175, 0, 0, 0, 0, 10, 8, 193
"c:\Users\16473\Desktop\SmartPurchase\spbackstage\src\views\finance\option.vue", "Vue", 0, 276, 0, 0, 0, 0, 0, 6, 282
"c:\Users\16473\Desktop\SmartPurchase\spbackstage\src\views\finance\withdrawl.vue", "Vue", 0, 369, 0, 0, 0, 0, 0, 13, 382
"c:\Users\16473\Desktop\SmartPurchase\spbackstage\src\views\home\index.vue", "Vue", 0, 132, 0, 0, 0, 0, 0, 6, 138
"c:\Users\16473\Desktop\SmartPurchase\spbackstage\src\views\login\index.vue", "Vue", 0, 333, 0, 0, 0, 0, 3, 25, 361
"c:\Users\16473\Desktop\SmartPurchase\spbackstage\src\views\post\edit.vue", "Vue", 0, 398, 0, 0, 0, 0, 6, 4, 408
"c:\Users\16473\Desktop\SmartPurchase\spbackstage\src\views\post\index.vue", "Vue", 0, 306, 0, 0, 0, 0, 0, 2, 308
"c:\Users\16473\Desktop\SmartPurchase\spbackstage\src\views\post\tag.vue", "Vue", 0, 149, 0, 0, 0, 0, 0, 5, 154
"c:\Users\16473\Desktop\SmartPurchase\spbackstage\src\views\transship\input.vue", "Vue", 0, 316, 0, 0, 0, 0, 5, 5, 326
"c:\Users\16473\Desktop\SmartPurchase\spbackstage\src\views\transship\output.vue", "Vue", 0, 964, 0, 0, 0, 0, 1, 19, 984
"c:\Users\16473\Desktop\SmartPurchase\spbackstage\src\views\transship\storage.vue", "Vue", 0, 586, 0, 0, 0, 0, 0, 10, 596
"c:\Users\16473\Desktop\SmartPurchase\spbackstage\src\views\transship\transmit.vue", "Vue", 0, 670, 0, 0, 0, 0, 145, 14, 829
"c:\Users\16473\Desktop\SmartPurchase\spbackstage\src\views\user\address.vue", "Vue", 0, 344, 0, 0, 0, 0, 0, 9, 353
"c:\Users\16473\Desktop\SmartPurchase\spbackstage\src\views\user\index.vue", "Vue", 0, 417, 0, 0, 0, 0, 0, 2, 419
"c:\Users\16473\Desktop\SmartPurchase\spbackstage\src\views\user\permission.vue", "Vue", 0, 594, 0, 0, 0, 0, 22, 17, 633
"c:\Users\16473\Desktop\SmartPurchase\spbackstage\vue.config.js", "JavaScript", 29, 0, 0, 0, 0, 0, 1, 0, 30
"Total", "-", 1270, 8987, 228, 16, 24504, 31, 632, 411, 36079
