"filename", "language", "Vue", "JavaScript", "Markdown", "JSON", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\16473\Desktop\SmartPurchase\spbackstage\src\views\post\edit.vue", "Vue", 398, 0, 0, 0, 0, 0, 6, 4, 408
"c:\Users\16473\Desktop\SmartPurchase\spbackstage\src\views\post\index.vue", "Vue", 306, 0, 0, 0, 0, 0, 0, 2, 308
"c:\Users\16473\Desktop\SmartPurchase\spbackstage\src\views\post\tag.vue", "Vue", 149, 0, 0, 0, 0, 0, 0, 5, 154
"c:\Users\16473\Desktop\SmartPurchase\spbackstage\src\views\transship\input.vue", "Vue", 323, 0, 0, 0, 0, 0, 5, 3, 331
"c:\Users\16473\Desktop\SmartPurchase\spbackstage\src\views\transship\output.vue", "Vue", 976, 0, 0, 0, 0, 0, 0, 19, 995
"c:\Users\16473\Desktop\SmartPurchase\spbackstage\src\views\transship\storage.vue", "Vue", 590, 0, 0, 0, 0, 0, 0, 10, 600
"c:\Users\16473\Desktop\SmartPurchase\spbackstage\src\views\transship\transmit.vue", "Vue", 704, 0, 0, 0, 0, 0, 140, 14, 858
"c:\Users\16473\Desktop\SmartPurchase\spbackstage\src\views\user\address.vue", "Vue", 468, 0, 0, 0, 0, 0, 0, 10, 478
"c:\Users\16473\Desktop\SmartPurchase\spbackstage\src\views\user\index.vue", "Vue", 417, 0, 0, 0, 0, 0, 0, 2, 419
"c:\Users\16473\Desktop\SmartPurchase\spbackstage\src\views\user\permission.vue", "Vue", 594, 0, 0, 0, 0, 0, 22, 17, 633
"c:\Users\16473\Desktop\SmartPurchase\spbackstage\vue.config.js", "JavaScript", 0, 28, 0, 0, 0, 0, 2, 0, 30
"Total", "-", 9910, 1320, 31, 24504, 228, 16, 472, 420, 36901
